ER0BEY1SHAH0S	HERBACEOUS
PER0DAH1KTIH0VLIY0	PRODUCTIVELY(2)
MYUW0ZIH1SHAH0NSHIH0P	MUSICIANSHIP
NAA1NDIH0SKRIH1PT	NONDESCRIPT
TAY1	TY
SEH1RIH0SIH0N	SARASIN
BER1CHER0	BIRCHER
LAH1VER0N	LOVERN
FLAO1RAH0DAH0Z	FLORIDA'S(2)
BEY0NAA0VIY1DEH0S	BENAVIDES
LIY0BEH1RTIY2	LIBERTI
PER0VER1SLIY0	PERVERSELY
PYUW1	PEUGH
DAA1MTER0	DOMTAR
DAA1ND	DONDE
AE1NAH0TOW2L	ANATOLE
AA1GREH0SAO2RS	AGRESOURCE
IH2NDUW1ST	INDUCED
STRAE1ND	STRAND
STRIY1KER0Z	STRIEKER'S
BAE1JHER0	BADGER
PAE1NGBAO2RN	PANGBORN
RIY1AH0LIH0ZM	REALISM
MAO1RZ	MORZE
AE1STRAH0Z	ASTRA'S
PAA1ZAH0TIH0VIH2ZAH0M	POSITIVISM
CHEY1KIH0N	CHAIKIN
KOW1VIH0N	COVIN
RIH0KAE1P	RECAP(1)
HHAA1RLAH0KWAH0N	HARLEQUIN
SAA1FT	SOFT
WAY1TKAA2TAH0N	WHITECOTTON
VEH2TER0AH0NEH1RIY0AH0N	VETERINARIAN(1)
JHAH0HHAE1NAH0	JOHANNA
HHAH0MAA1SIH0S	HAMMAS'S
BEY1KIH0NG	BAKING
EH1MBOW0LIH2ZAH0MZ	EMBOLISMS
HHEY1FIY2LDZ	HAYFIELDS
IH2NSHUH1RAH0NSIH0Z	INSURANCE'S
FAY1NGGOW0LD	FEINGOLD
ROW2BAH0TAH1SIH0N	ROBITUSSIN(1)
POY0ZSAO1NT	POISSANT
AE1MAH0CHER2IH0SH	AMATEURISH
FRIY1DMAH0N	FREIDMAN(1)
PER0OW1N	PERONE
KUW1N	KOON
PEH1NZER0	PENZER
SHEH1R	SCHERR
AE0NTEH1NAH0Z	ANTENNAS
PAE1TER0SAH0NZ	PATTERSON'S
KEH1NSAH0LER0	KENSLER
VIH1NGKAH0	VINCA
PROW1GRAE2MIH0NG	PROGRAMMING
BER1KHHER0D	BURKHARD
HHYUW1BNER0	HUEBNER
KOW1SHAH0N	KOCIAN
FYUH1RIY0AH0	FURIA
STAE1GPAE2RTIY0	STAG-PARTY
BOW1LMAH0N	BOELMAN
MAE1TRAH0SIH0Z	MATTRESSES(1)
EH1KSAY2LZ	EXILES(1)
DIY0HHYUW0MIH1DAH0FAY0Z	DEHUMIDIFIES
VIY2EY1	V.A.
DIH0PLIY1TIH0NG	DEPLETING
FAY1BER0Z	FIBER'S
NUW1ZDEY2Z	NEWSDAY'S
ZHIH0LEH1T	GELETTE
KOW1LWEH2L	COLWELL
LEY1TNAY2T	LATE-NIGHT
HHAE1LPER0N	HALPERN
KLUW1GER0	KLUGER
MAA1RGAH0LIH0N	MARGOLIN
STOW1NIY0FIY2LD	STONYFIELD
YUW1IH0SH	HUISH(1)
KAA1FLER0	KOFFLER(1)
FAA1RMER0Z	FARMER'S
BER1G	BURGE
BAA1CHER0AA0V	BOCHAROV
RIY0MEY1NZ	REMAINS(1)
DRIH1ZAH0L	DRIZZLE
KAH0NFLEY1T	CONFLATE
GER0EH1T	GARRETTE
