HERBACEOUS	ER0BEY1SHAH0S
PRODUCTIVELY(2)	PER0DAH1KTIH0VLIY0
MUSICIANSHIP	MYUW0ZIH1SHAH0NSHIH0P
NONDESCRIPT	NAA1NDIH0SKRIH1PT
TY	TAY1
SARASIN	SEH1RIH0SIH0N
BIRCHER	BER1CHER0
LOVERN	LAH1VER0N
FLORIDA'S(2)	FLAO1RAH0DAH0Z
BENAVIDES	BEY0NAA0VIY1DEH0S
LIBERTI	LIY0BEH1RTIY2
PERVERSELY	PER0VER1SLIY0
PEUGH	PYUW1
DOMTAR	DAA1MTER0
DONDE	DAA1ND
ANATOLE	AE1NAH0TOW2L
AGRESOURCE	AA1GREH0SAO2RS
INDUCED	IH2NDUW1ST
STRAND	STRAE1ND
STRIEKER'S	STRIY1KER0Z
BADGER	BAE1JHER0
PANGBORN	PAE1NGBAO2RN
REALISM	RIY1AH0LIH0ZM
MORZE	MAO1RZ
ASTRA'S	AE1STRAH0Z
POSITIVISM	PAA1ZAH0TIH0VIH2ZAH0M
CHAIKIN	CHEY1KIH0N
COVIN	KOW1VIH0N
RECAP(1)	RIH0KAE1P
HARLEQUIN	HHAA1RLAH0KWAH0N
SOFT	SAA1FT
WHITECOTTON	WAY1TKAA2TAH0N
VETERINARIAN(1)	VEH2TER0AH0NEH1RIY0AH0N
JOHANNA	JHAH0HHAE1NAH0
HAMMAS'S	HHAH0MAA1SIH0S
BAKING	BEY1KIH0NG
EMBOLISMS	EH1MBOW0LIH2ZAH0MZ
HAYFIELDS	HHEY1FIY2LDZ
INSURANCE'S	IH2NSHUH1RAH0NSIH0Z
FEINGOLD	FAY1NGGOW0LD
ROBITUSSIN(1)	ROW2BAH0TAH1SIH0N
POISSANT	POY0ZSAO1NT
AMATEURISH	AE1MAH0CHER2IH0SH
FREIDMAN(1)	FRIY1DMAH0N
PERONE	PER0OW1N
KOON	KUW1N
PENZER	PEH1NZER0
SCHERR	SHEH1R
ANTENNAS	AE0NTEH1NAH0Z
PATTERSON'S	PAE1TER0SAH0NZ
KENSLER	KEH1NSAH0LER0
VINCA	VIH1NGKAH0
PROGRAMMING	PROW1GRAE2MIH0NG
BURKHARD	BER1KHHER0D
HUEBNER	HHYUW1BNER0
KOCIAN	KOW1SHAH0N
FURIA	FYUH1RIY0AH0
STAG-PARTY	STAE1GPAE2RTIY0
BOELMAN	BOW1LMAH0N
MATTRESSES(1)	MAE1TRAH0SIH0Z
EXILES(1)	EH1KSAY2LZ
DEHUMIDIFIES	DIY0HHYUW0MIH1DAH0FAY0Z
V.A.	VIY2EY1
DEPLETING	DIH0PLIY1TIH0NG
FIBER'S	FAY1BER0Z
NEWSDAY'S	NUW1ZDEY2Z
GELETTE	ZHIH0LEH1T
COLWELL	KOW1LWEH2L
LATE-NIGHT	LEY1TNAY2T
HALPERN	HHAE1LPER0N
KLUGER	KLUW1GER0
MARGOLIN	MAA1RGAH0LIH0N
STONYFIELD	STOW1NIY0FIY2LD
HUISH(1)	YUW1IH0SH
KOFFLER(1)	KAA1FLER0
FARMER'S	FAA1RMER0Z
BURGE	BER1G
BOCHAROV	BAA1CHER0AA0V
REMAINS(1)	RIY0MEY1NZ
DRIZZLE	DRIH1ZAH0L
CONFLATE	KAH0NFLEY1T
GARRETTE	GER0EH1T
ALERT	AH0LER1T
DISSEMINATE	DIH0SEH1MAH0NEY2T
SLABY	SLEY1BIY0
POLLUTERS	PAH0LUW1TER0Z
DEMOS	DEH1MOW2Z
NULAND(1)	NUW1LAH0ND
BRYAN'S	BRAY1AH0NZ
KEEZER	KIY1ZER0
PINED	PAY1ND
CHELYABINSK	CHEH0LYAH0BIH1NSK
BLANCETT	BLAE1NSIH0T
LEONHART	LEH1NHHAA0RT
LILLIANA	LIH0LIY0AE1NAH0
RODRIGUEZ'S	RAA0DRIY1GEH0ZIH0Z
HOLTZAPPLE	HHOW1LTZAH0PAH0L
INSTIGATED	IH1NSTAH0GEY2TIH0D
FORGEY	FAO1RJHIY0
KOSTICK	KOW1STIH0K
ROOME	RUW1M
VEDA	VEY1DAH0
HUEBER	HHUH1BER0
SHALNEV	SHAA1LNEH0V
REQUIRED(1)	RIY0KWAY1RD
IRAQI(1)	IY2RAE1KIY0
BLANCHETT	BLAE1NCHIH0T
BLAYNEY	BLEY1NIY0
RUBIN'S	RUW1BIH0NZ
MITRO	MIH1TROW0
DISTURBANCES	DIH0STER1BAH0NSAH0Z
MANES	MEY1NZ
UNCONSOLIDATED	AH0NKAH0NSAA1LAH0DEY2TIH0D
PAPA	PAA1PAH2
PRIME'S	PRAY1MZ
WHIRLPOOL'S	WER1LPUW2LZ
GARMANY	GER0MAO1NIY0
SERBIANS	SER1BIY0AH0NZ
SWOYER	SWOY1ER0
LIHUE	LIH0HHWEY1
DISTILLATE	DIH1STAH0LEY2T
KAHN	KAA1N
FERRARO	FER0AA1ROW0
ORILLA	AO0RIH1LAH0
SEELERT	SIY1LER0T
ROTHERT	RAA1THER0T
RECOUPING	RIH0KUW1PIH0NG
SUBSTANCE	SAH1BSTAH0NS
